Alabama,Autauga County,49584
New York,Cortland County,48207
Florida,Suwannee County,39256
Georgia,Fannin County,22434
Illinois,Livingston County,37965
North Dakota,Burleigh County,77049
Utah,Weber County,221981
New Mexico,Sandoval County,116811
New York,Columbia County,62217
Florida,Calhoun County,13525
Indiana,Switzerland County,9627
New Mexico,Luna County,26724
Georgia,Candler County,10380
Wisconsin,Marinette County,42366
Missouri,Phelps County,42249
Texas,Stonewall County,1381
New York,Wayne County,91658
Kansas,Rooks County,5131
Minnesota,Olmsted County,139585
California,Placer County,332059
Louisiana,St. Martin Parish,51429
North Carolina,Pender County,49408
Kansas,Labette County,21881
Alabama,Choctaw County,14229
Minnesota,Mower County,38119
North Carolina,Dare County,33976
Idaho,Camas County,1040
Maine,Lincoln County,34789
Louisiana,Jackson Parish,15111
Georgia,Screven County,15077
North Dakota,Wells County,4251
Montana,Yellowstone County,140436
North Carolina,Hoke County,42410
Arkansas,Lawrence County,16912
Nebraska,Boyd County,2120
Georgia,Muscogee County,188737
Texas,Refugio County,7364
New York,Madison County,69868
Oregon,Deschutes County,151879
Illinois,Pike County,16484
Minnesota,Isanti County,38589
Nebraska,Webster County,3555
Ohio,Henry County,28976
Colorado,Prowers County,13206
Washington,Grays Harbor County,71117
Illinois,Adams County,66892
Oklahoma,Le Flore County,49480
Puerto Rico,Caguas Municipio,142926
Arkansas,Nevada County,9324
Pennsylvania,Huntingdon County,45479
California,Kern County,780953
Minnesota,Crow Wing County,61435
Texas,Terry County,12154
North Carolina,Greene County,20402
Nebraska,Richardson County,8358
Puerto Rico,Guayanilla Municipio,23686
Texas,Presidio County,7536
Kentucky,Daviess County,93975
Illinois,Montgomery County,29782
Missouri,Ray County,23507
Mississippi,Humphreys County,9985
Puerto Rico,Las Marías Municipio,12093
Georgia,Henry County,182952
Oklahoma,Greer County,5800
Iowa,Greene County,9489
West Virginia,Tucker County,6861
Pennsylvania,Chester County,486301
Colorado,Washington County,4647
Iowa,Buchanan County,20911
Arkansas,Sharp County,17689
Colorado,Cheyenne County,1622
Michigan,Marquette County,65298
Utah,Garfield County,4488
Iowa,Chickasaw County,12160
Ohio,Paulding County,19186
Wisconsin,Dane County,476381
California,El Dorado County,175941
Georgia,Charlton County,10700
North Carolina,Camden County,9375
Colorado,Alamosa County,15353
Alabama,Randolph County,22504
Michigan,Monroe County,152899
Georgia,Wilkes County,10292
Mississippi,Choctaw County,9106
Indiana,Tippecanoe County,162527
Missouri,Warren County,30249
Virginia,Fairfax city,23369
Virginia,Northampton County,13422
Washington,Kittitas County,38428
Iowa,Ringgold County,5062
Mississippi,Tishomingo County,19060
Illinois,Cook County,5257001
Georgia,White County,24702
Arkansas,White County,73838
Florida,Indian River County,131811
Kansas,Clark County,2133
Virginia,Caroline County,26917
Nebraska,Keith County,7934
Ohio,Logan County,46430
Tennessee,Henderson County,26687
Texas,Webb County,231035
Minnesota,Pipestone County,9303
Nebraska,Dawson County,24789
Pennsylvania,Warren County,41025
Hawaii,Honolulu County,902564
Iowa,Crawford County,16479
Kansas,Brown County,10028
Virginia,Falls Church city,11233
Florida,Osceola County,254739
New Mexico,Hidalgo County,5001
Oklahoma,Garfield County,57700
Puerto Rico,Trujillo Alto Municipio,85675
Colorado,Douglas County,269451
Texas,Upshur County,37635
North Carolina,Rockingham County,92007
Georgia,Harris County,28884
Minnesota,Wright County,116527
Texas,Burnet County,43402
Mississippi,Wayne County,20892
North Carolina,Buncombe County,225869
North Carolina,Robeson County,127686
Ohio,Mercer County,40761
Louisiana,Concordia Parish,18979
South Dakota,Clark County,3526
Vermont,Bennington County,36466
New Jersey,Essex County,771353
Oklahoma,Love County,9072
Tennessee,Moore County,6044
Puerto Rico,Patillas Municipio,20001
Ohio,Clinton County,42820
Georgia,Ware County,35658
Florida,Monroe County,74024
Kentucky,Morgan County,14204
Virginia,Louisa County,31661
Oregon,Lake County,7160
South Carolina,McCormick County,10087
Idaho,Nez Perce County,38691
Wisconsin,Vilas County,21846
Georgia,Macon County,13397
California,Mono County,12925
Wisconsin,Sheboygan County,114122
Wisconsin,Juneau County,26493
Ohio,Wood County,124975
New Jersey,Atlantic County,270016
Arkansas,Baxter County,41468
Texas,Childress County,7530
Texas,Franklin County,10915
Ohio,Delaware County,159868
Kentucky,Nicholas County,6921
Iowa,Allamakee County,14421
Virginia,Cumberland County,9536
Puerto Rico,San Germán Municipio,37599
Michigan,Oscoda County,8921
Missouri,Lafayette County,32741
Ohio,Gallia County,30837
Kentucky,Wayne County,20575
Tennessee,Jefferson County,50116
Alabama,Madison County,314047
Mississippi,Hancock County,41135
Mississippi,Stone County,15734
Mississippi,Yazoo County,28296
Virginia,Stafford County,120436
Indiana,Daviess County,30205
Colorado,Custer County,3598
Idaho,Bannock County,80428
Ohio,Morgan County,14495
Virginia,Augusta County,70991
Wisconsin,Bayfield County,14938
Colorado,Dolores County,1771
Oregon,Columbia County,48612
Kansas,Anderson County,7900
Missouri,Christian County,72551
Missouri,Dent County,15036
Virginia,Bedford city,6291
Minnesota,Meeker County,23195
Iowa,Calhoun County,9964
Kentucky,Robertson County,2234
New York,Essex County,37927
Oregon,Lane County,343774
Oklahoma,Atoka County,14424
Nebraska,Nemaha County,6980
Colorado,Denver County,582447
North Carolina,Surry County,72166
Puerto Rico,Guayama Municipio,45248
South Carolina,Abbeville County,25347
South Dakota,Edmunds County,3981
Texas,Foard County,1324
Illinois,Coles County,52144
Alabama,Wilcox County,12552
Texas,Jack County,8691
Florida,Pasco County,453933
South Carolina,Saluda County,18947
North Carolina,Transylvania County,29886
Kentucky,McLean County,9690
Michigan,Benzie County,17440
Kansas,Nemaha County,10118
